Vnum	LocalizedName
1092	Demon rege mandru
1093	Ingerul cu Coasa
1094	Demon rege comun
1095	Moarte albastra
1096	Áø»ç±Í¿Õ
1101	Gheata Fermecata
1102	Balena Ucigasa de Gheata
1103	Insecta de Gheata
1104	Leu de gheata
1105	Om Inghetat
1106	Yeti
1107	Golem de Gheata
1108	Golem de Gheata
1131	Aschii Gheata Lumea Jos
1132	Balena ucigasa gheata
1133	Insecta Inghetata
1134	Leu Gheata Lumea Jos
1135	Omul ghetii lumii de jos
1136	Yeti Salbatic
1137	Golem de Gheata Subteran
1138	Golem de Gheata Subteran
1151	Diavol de Gheata
1152	Balena Corn de Gheata
1153	Insecta de Gheata
1154	Seol-Gu
1155	Omul Ghetii
1156	Gigant de Gheata
1157	Golem de Gheata
1171	Gheata fermecata rea
1172	Balena cu corn d gh. rea
1173	Insecta de Gheata Rea
1174	Leu de gheata rau
1175	Om Rau de Gheata
1176	Yeti rau
1177	Golem de Gheata Puternic
1191	Vrajitoare de gheata
1192	Vrajitoare Rea de Gheata
1301	Soldat Brotac
1302	General Brotac
1303	Capcaun
1304	Fantoma Tigrului Galben
1305	General Broasca Taur
1306	Naluca Tigrului Galben
1307	Naluca Tigrului Galben
1308	Naluca Tigrului Galben
1309	Naluca Tigrului Galben
1310	Naluca Tigrului Galben
1331	Soldat Brotac Mare
1332	Liderul General Brotac
1333	Capcaun mare
1334	Duhul Tigrului Galben
1335	Gen. broasca-bou mare
1336	General Broasca Taur
1401	Distrugator
1402	Luptator cu securea
1403	Miria-Luptator
1501	Golem de Piatra
1502	Spargator de Piatra
1503	Golem de Stanca
1601	Capcaun razboinic
1602	Capcaun Macelar
1603	Berserker capcaun
1901	Noua Cozi
1902	Noua Cozi de Elita
1903	Noua Cozi de Elita
1904	Noua Cozi de Elita
1905	Noua Cozi de Elita
1906	Noua Cozi de Elita
2001	Pui de Paianjen
2002	Paianjen Otravitor
2003	Paianjen Otravitor Rosu
2004	Paianjen Gheara Toxic
2005	Paianjen Soldat
2031	Pui de Paianjen Otravit
2032	Paianjen OtravitorMortal
2033	Paianj.Otravit Mort Rosu
2034	Paianjen Gheara Toxica
2035	Paianjen Soldat Toxic
2036	Paianjen Soldat Mandru
2037	Paianjen Soldat Otravit
2051	Pui Paianjen Toxic Rau
2052	Paianjen Otravitor Rau
2053	Paianjen Rosu Toxic Rau
2054	PaianjenGhearaToxicRau
2055	Paianjen Soldat ToxicRau
2061	Paianjen Otravitor Mic
2062	Paianjen Toxic Mortal
2063	Paianjen Toxic Rosu
2064	Paianjen Gheara Otravit
2065	Paianjen Soldat Otravit
2071	Paianjen Pui Mortal
2072	Pai. otr. mort. brutal
2073	Pai. otr. rosu brutal
2074	Pai. otr. cu gheara brut
2075	Paianjen Soldat Mortal
2076	Paianjen Otravitor Dur
2091	Regina Paianjenilor
2092	Baroneasa Paianjen
2093	Vaduva Neagra
2094	Rege Paianjen
2095	Ou de Paianjen
2101	Vulpe de Desert
2102	Ochi Zburator Desert
2103	Scorpion Regal
2104	Om Scorpion Mic
2105	Arcas Scorpion
2106	Sarpe Spadasin
2107	Arcas ªarpe
2108	Talhar de Desert
2131	Om Scorpion
2132	Arcas Scorpion
2133	Luptator sabie sarpe
2134	Arcas ªarpe
2135	Talhar de Desert
2151	Vulpe Salbatica de Deser
2152	Calugar Puternic
2153	Scorpion Regal Dur
2154	Om Scorpion Dur
2155	Arcas Dur Scorpion
2156	Sarpe Spadasin Dur
2157	Arcas Dur ªarpe
2158	Beduin Puternic
2191	Testoasa Gigant
2192	testoasa de desert neagr
2201	Tigru Luptator Dur
2202	Spiritul Focului
2203	Tigru Luptator
2204	Flacara
2205	Luptator de Foc
2206	Regele Focului
2207	Regele negru al focului
2231	Tigru Luptator Puternic
2232	Spirit Flacara Dura
2233	Tigru Razboinic Dur
2234	Fantoma Razboinica Dura
2235	Razboinic Foc Dur
2291	Dragon Rosu
2301	Copac Fantoma
2302	Buturuga Fantoma
2303	Driada
2304	Salcia Fantoma
2305	Copac Rau
2306	Copac Fantoma Urias
2307	Copac Fantoma Nobil
2311	Copacul Rosu Fantoma
2312	Buturuga Fantoma Rosie
2313	Driada Rosie
2314	Salcia Fantoma Rosie
2315	Copac Rau Rosu
2401	Setaou Luptator
2402	Vanator Setaou
2403	Setaou Mistic
2404	Conducator Setaou
2411	Soldat Setaou
2412	Arcas Setaou
2413	Judecator Setaou
2414	Comandant Setaou
2415	Comandant Setaou
2431	Setaou Luptator
2432	Vanator Setaou
2433	Setaou Mistic
2434	Conducator Setaou
2451	Soldat Setaou
2452	Arcas Setaou
2453	Judecator Setaou
2454	Comandant Setaou
2491	Capitanul Yonghan
2492	Generalul Yonghan
2493	Dragonul Albastru
2494	Capitanul Huashin
2495	Generalul Huashin
2501	Meduzele Iadului
2502	Cainele Iadului
2503	Zombie
2504	Ofiterul Iadului
2505	Gardianul Iadului
2506	Arcasul Iadului 2 Capete
2507	Gheare Diabolice
2508	Luptatorul Iadului
2509	Arcasul Iadului
2510	Sulitasul Iadului
2511	Parintele Iadului
2512	Maiorul Iadului
2513	Macelarul Iadului
2514	Generalul Iadului
2541	Luptator Satanic
2542	Arcas Satanic
2543	Sulitas Satanic
2544	Parinte Satanic
2545	Maior Satanic
2546	Macelar Satanic
2547	General Satanic
2591	Tartaros
2592	Ucigasul Iadului
2593	Ucigasul Iadului
2594	Ucigasul Iadului
2595	Erebos
2596	Creatura lui Azrael
2597	Charon
2598	Azrael
2600	Lup Zodiac
2601	Lup Albastru Zodiac
2602	Lykos Zodiac
2603	Arcas Zodiac
2604	Mistret Salbatic Zodiac
2605	Mistret Rosu Zodiac
2606	Scrofa Zodiac
2607	Mi-Jung Zodiac
2608	Bera Zodiac
2609	Urs Zodiac
2610	Urs Grizzly Zodiac
2611	Urs Brun Zodiac
2612	Eun-Jung Zodiac
2613	Tigris Zodiac
2614	Tigru Zodiac
2615	Tigru Alb Zodiac
2616	Se-Rang Zodiac
2617	Jin-Hee Zodiac
2618	Pui de Paianjen Zodiac
2619	Paianjen Otrav Zodiac
2620	Paianjen Rosu Otr Zodiac
2621	Paianjen Gheara Zodiac
2622	Paianjen Gheara Zodiac
2623	Spiritul Focului Zodiac
2624	Tigru Razboinic Zodiac
2625	Flacara Zodiac
2626	Luptator de Foc Zodiac
2627	Rege de Foc Zodiac
2628	Rege de Foc Negru Zodiac
2629	Infanterist Salb Zodiac
2630	Salbatic Devotat Zodiac
2631	Arcas Salbatic Zodiac
2632	General Salbatic Zodiac
2633	Capitan Bestial Zodiac
2634	Gheata Fermecata Zodiac
2635	Balena de Gheata Zodiac
2636	Insecta de Gheata Zodiac
2637	Leu de Gheata Zodiac
2638	Omul Ghetii Zodiac
2639	Yeti Zodiac
2640	Golem de Gheata Zodiac
2641	Vulpe de Desert Zodiac
2642	Scorpion Regal Zodiac
2643	ªarpe Spadasin Zodiac
2644	ªarpe Arcas Zodiac
2645	Beduin Zodiac
2646	Soldat Vant Negr Zodiac
2647	Posedat Vant Negr Zodiac
2648	Arcas Vant Negr Zodiac
2649	Mahon Zodiac
2650	Bo Zodiac
2651	Goo-Pae Zodiac
2652	Chuong Zodiac
2653	Om Scorpion Zodiac
2654	Arcas Scorpion Zodiac
2655	Calugar Zodiac
2656	Soldat Brotac Zodiac
2657	Lider Brotac Zodiac
2658	Capcaun Zodiac
2659	Distrugator Zodiac
2660	Luptator Secure Zodiac
2661	Miria Luptator Zodiac
2662	Fanatic Intunecat Zodiac
2663	Arahan Zodiac
2664	Arahan Esoteric Zodiac
2665	Arahan Intunecat Zodiac
2666	Execut Intunecat Zodiac
2667	Despot Intunecat Zodiac
2668	Incantator Zodiac
2669	Orc Elite Zodiac
2670	Orc Elit Cercetas Zodiac
2671	Orc Elit Luptator Zodiac
2672	Orc Elit Vrajitor Zodiac
2673	Orc Elite General Zodiac
2674	Orc Negru Zodiac
2675	Orc Negru Gigant Zodiac
2676	Talhar Rosu Amaz Zodiac
2677	Talhar Rosu Asas Zodiac
2678	Talhar Rosu Mag Zodiac
2679	Talhar Rosu Calau Zodiac
2680	Crab Razboinic Zodiac
2681	Scorpion Arcas Zodiac
2682	Crevete Soldat Zodiac
2683	Pustnic Diabolic Zodiac
2684	Crab Blindat Zodiac
2685	Gigant Escroc Zodiac
2686	Gigant Macelar Zodiac
2687	Magus Zodiac
2688	Twiant Zodiac
2689	Calau Orc Zodiac
2690	Arcas Orc Zodiac
2691	Orc Galagios Zodiac
2692	Orc Mag Zodiac
2700	Vargulf
2701	Soldat Vargulf
2702	General Vargulf
2703	Cerberus
2704	ªarpe Cerberus
2705	Dragon Cerberus
2706	Centaur
2707	Razboinic Centaur
2708	General Centaur
2709	Moloch
2710	Razboinic Moloch
2711	General Moloch
2712	Deathwing
2713	Deathwing Otravit
2714	Deathwing Putred
2715	Zephyr
2716	Razboinic Zephyr
2717	General Zephyr
2718	Uruk
2719	Razboinic Uruk
2720	General Uruk
2721	Carniphant
2722	Razboinic Carniphant
2723	General Carniphant
2724	Spartan
2725	Soldat Spartan
2726	General Spartan
2727	Gladiator Oase
2728	Soldat Gladiator Oase
2729	General Gladiator Oase
2730	Sagetator Scarabeu
2731	Gigant Scarabeu
2732	Fecioara Scarabeu
2733	Arcas de Fier
2734	Razboinic de Fier
2735	General de Fier
2736	Refugiat
2737	Damage_Trap
2750	Ofiter Zi
2751	Gardian Zi
2752	General Zi
2760	Ofiter Chou
2761	Gardian Chou
2762	General Chou
2770	Ofiter Yin
2771	Gardian Yin
2772	General Yin
2780	Ofiter Mao
2781	Gardian Mao
2782	General Mao
2790	Ofiter Chen
2791	Gardian Chen
2792	General Chen
2800	Ofiter Si
2801	Gardian Si
2802	General Si
2810	Ofiter Wu
2811	Gardian Wu
2812	General Wu
2820	Ofiter Wei
2821	Gardian Wei
2822	General Wei
2830	Ofiter Shen
2831	Gardian Shen
2832	General Shen
2840	Ofiter You
2841	Gardian You
2842	General You
2850	Ofiter Xu
2851	Gardian Xu
2852	General Xu
2860	Ofiter Hai
2861	Gardian Hai
2862	General Hai
2900	Metinul ªobolanului
2901	Metinul Bivolului
2902	Metinul Tigrului
2903	Metinul Dragonului
2904	Metinul ªarpelui
2905	Metinul Calului
2906	Metinul Caprei
2907	Metinul Maimutei
2908	Metinul Cainelui
3001	Gnoll Razboinic
3002	Arcas Gnoll
3003	Gnoll Aparator
3004	Gnoll Magician
3005	Gnoll General
3090	Gnoll Lord
3091	Gnoll Suprem
3101	Capcaun cu Un Ochi
3102	Ciclop Soldat
3103	Ciclop Magician
3104	Ciclopi Calau
3105	Generalul Outis
3190	Arges
3191	Polyphemos
3201	Manticore Razboinic
3202	Manticore Soldat
3203	Manticore Mag
3204	Manticore Calau
3205	Generalul Cor
3290	Rakshasa
3291	Martyaxwar
3301	Lemures Razbonic
3302	Lemures Soldat
3303	Lemures Magician
3304	Lemures Calau
3305	Lemures General
3390	Printul Lemures
3391	Bodyguard Lemures
3401	Tritonic Moray
3402	Rechin Soldat
3403	Tritonic Magician
3404	Tritonic Vanator
3405	Tritonic Macelar
3490	Generalul Kappa
3491	Triton
3501	Talhar Rosu Amazon
3502	Talhar Rosu Asasin
3503	Talhar Rosu Magician
3504	Talhar Rosu Calau
3505	General Negru
3551	Talhar Brutal Amazon
3552	Talhar Brutal Asasin
3553	Talhar Brutal Magician
3554	Talhar Brutal Calau
3555	General Alb
3590	Craniu
3591	Conducator Rosu
3595	Craniu Brutal
3596	Conducator Rosu Brutal
3601	Crab Razboinic
3602	Tragator Scorpion
3603	Crevete Soldat
3604	Pustnic Diabolic
3605	Crab Blindat
3690	Generalul Homar
3691	Regele Crab
3701	Gigant Escroc
3702	Gigant Macelar
3703	Gigant Mag
3704	Colos
3705	Capitanul Carlig
3790	Gargoyle
3791	Regele Wubba
3801	Hangork
3802	Arcas Ork
3803	Orc Galagios
3804	Orc Mag
3805	Generalul Ogg
3890	Capitanul Shruk
3891	Marele Orc
3901	Copac Monstru
3902	Eoten
3903	Skouman
3904	Capitanul Carlig
3905	Mu-Shu
3906	Yah-Ki
3907	Moghu
3908	Carnifex
3909	General Albus
3910	Skeletos
3911	Aku-Boku
3912	Arboretum
3913	Sycomore
3949	Portal: Continent Nou
3950	Kappa
3951	Kappa Laguna
3952	Kappa Adancuri
3953	Lider Kappa
3954	Soldat Moray
3955	Soldat Moray Adancuri
3956	Regina Sirena
3957	Creatura Hydra
3958	Creatura Hydra
3959	Creatura Hydra
3960	Hydra
3961	Hydra
3962	Hydra
3963	Hydra
3964	Hydra
3965	Comoara Hydra
3970	1
3971	Cristal Nord
3972	AdancuriNordice 415 136
3973	AdancuriNordice 94 139
3974	0
3980	Element Foc
3981	Element Gheata
3982	Element Fulger
3983	Element Vant
3984	Element Pamant
3985	Element Intunecat
3986	Spiritul Flacarii
3987	Spiritul Ghetii
3988	Spiritul Fulger
3989	Spiritul Aer
3990	Spiritul Piatra
3991	Spiritul Umbra
3992	Lord Ars
3993	Lord Inghetat
3994	Lord Tunet
3995	Lord Furtuna
3996	Lord Pamant
3997	Lord Negru
3998	Taramul Elementelor
3999	Iesire
4000	Metinul Focului
4001	Metinul Ghetii
4002	Metinul Fulgerului
4003	Metinul Vantului
4004	Metinul Pamantului
4005	Metinul Noptii
4006	Gardian Elementar
4019	Intrare Turn
4020	Turn Sung Mahi
4021	Sigiliu Turn
4022	Portal Templul ªarpelui
4023	Schimba Nivel
4024	Capul ªarpelui
4025	Capul ªarpelui
4026	Capul ªarpelui
4027	Capul ªarpelui
4030	Ou Dragon Alb
4032	Paraseste Templul Enigma
4033	Templul Enigma (constr.)
4034	Templul Enigma (repeta)
4035	Portal Enigma
4101	Gardian Judecatii Zi
4102	Gardian Judecatii Chou
4103	Gardian Judecatii Yin
4104	Gardian Judecatii Mao
4105	Gardian Judecatii Chen
4106	Gardian Judecatii Si
4107	Gardian Judecatii Wu
4108	Gardian Judecatii Wei
4109	Gardian Judecatii Shen
4110	Gardian Judecatii You
4111	Gardian Judecatii Xu
4112	Gardian Judecatii Hai
4121	Gardian Judecatii Zi
4122	Gardian Judecatii Chou
4123	Gardian Judecatii Yin
4124	Gardian Judecatii Mao
4125	Gardian Judecatii Chen
4126	Gardian Judecatii Si
4127	Gardian Judecatii Wu
4128	Gardian Judecatii Wei
4129	Gardian Judecatii Shen
4130	Gardian Judecatii You
4131	Gardian Judecatii Xu
4132	Gardian Judecatii Hai
4141	Metinul Armageddon
4142	Metinul Judecatii
4143	Metinul Cataclysm
4144	Metinul Apocalipsei
4145	Judele Henkog
4146	Judele Henkog Arcane
4147	Judele Kappa
4148	Judele Kappa Adancuri
4149	Judele Chuong
4150	Judele Chuong Arcane
4151	Judele Vrajitor
4152	Judele Vrajitor Arcane
4153	Asmodeus
4154	Emisarul Pamantului
4155	Emisarul Pamantului
4156	Emisarul Noptii
4157	Emisarul Tunetului
4158	Emisarul Aerului
4159	Luptator Condamnat
4160	Vrajitor Condamnat
4161	Emisarul Mortii
4162	Emisarul Salvarii
4200	TR: Luptator Setaou
4201	TR: Vanator Setaou
4202	TR: Mistic Setaou
4203	TR: Soldat Setaou
4204	TR: Arcas Setaou
4205	TR: Judecator Setaou
4206	TR: Comandant Setaou
4207	TR: Capitanul Yonghan
4208	TR: Capitanul Yonghan
4209	TR: Generalul Yonghan
4210	TR: Generalul Yonghan
4220	TR: Cenusa Spirit Foc
4221	TR: Cenusa Tigru de Foc
4222	TR: Cenusa Flacara
4223	TR: Cenusa Luptator Foc
4224	TR: Cenusa Rege de Foc
4225	TR: Cenusa Troll de Foc
4226	TR: Cenusa Barba de Foc
4227	TR: Cenusa General Foc
4228	TR: Cenusa Lider Flacara
4229	TR: Ignitor
4240	TR: Cristal de Gheata
4241	TR: Insecta de Gheata
4242	TR: Om de Gheata
4243	TR: Yeti de Gheata
4244	TR: Golem de Gheata
4245	TR: Troll de Gheata
4246	TR: Barba de Gheata
4247	TR: General de Gheata
4248	TR: Lord de Gheata
4249	TR: Szel
4260	TR: Razboinic En-Tai
4261	TR: Soldat En-Tai
4262	TR: Druid En-Tai
4263	TR: Vindecator En-Tai
4264	TR: Distrugator En-Tai
4265	TR: Suveran En-Tai
4266	TR: Vindecator Ochao
4267	TR: Razboinic En-Tai
4268	TR: Soldat En-Tai
4269	TR: Druid En-Tai
4270	TR: Vindecator En-Tai
4271	TR: Distrugator En-Tai
4272	TR: Bagjanamu
4273	TR: Soldat Ochao
4274	TR: Magician Ochao
4275	TR: Calau Ochao
4276	TR: General Ochao
4280	RX: Luptator Setaou
4281	RX: Vanator Setaou
4282	RX: Mistic Setaou
4283	RX: Soldat Setaou
4284	RX: Arcas Setaou
4285	RX: Judecator Setaou
4286	RX: Comandant Setaou
4287	RX: Capitanul Yonghan
4288	RX: Capitanul Yonghan
4289	RX: Generalul Yonghan
4290	RX: Generalul Yonghan
4300	RX: Cenusa Spirit Foc
4301	RX: Cenusa Tigru de Foc
4302	RX: Cenusa Flacara
4303	RX: Cenusa Luptator Foc
4304	RX: Cenusa Rege de Foc
4305	RX: Cenusa Troll de Foc
4306	RX: Cenusa Barba de Foc
4307	RX: Cenusa General Foc
4308	RX: Cenusa Flacara Lider
4309	RX: Ignitor
4320	RX: Cristal de Gheata
4321	RX: Insecta de Gheata
4322	RX: Om de Gheata
4323	RX: Yeti de Gheata
4324	RX: Golem de Gheata
4325	RX: Troll de Gheata
4326	RX: Barba de Gheata
4327	RX: General de Gheata
4328	RX: Lord de Gheata
4329	RX: Yeti Magma
4340	RX: Razboinic En-Tai
4341	RX: Soldat En-Tai
4342	RX: Druid En-Tai
4343	RX: Vindecator En-Tai
4344	RX: Distrugator En-Tai
4345	RX: Suveran En-Tai
4346	RX: Vindecator Ochao
4347	RX: Razboinic En-Tai
4348	RX: Soldat En-Tai
4349	RX: Druid En-Tai
4350	RX: Vindecator En-Tai
4351	RX: Distrugator En-Tai
4352	RX: Bagjanamu
4353	RX: Soldat Ochao
4354	RX: Magician Ochao
4355	RX: Calau Ochao
4356	RX: General Ochao
4400	TR: Beran-Setaou
4401	TR: Razador
4402	TR: Nemere
4403	TR: Jotun Thrym
4410	RX: Beran-Setaou
4411	RX: Razador
4412	RX: Nemere
4413	RX: Jotun Thrym
4420	W: Razboinic En-Tai
4421	W: Soldat En-Tai
4422	W: Druid En-Tai
4423	W: Vindecator En-Tai
4424	W: Distrugator En-Tai
4429	W: Bagjanamu
4430	W: Gnoll Arcas
4431	W: Ciclopi Soldat
4432	W: Ciclopi Magician
4433	W: Ciclopi Calau
4434	W: Generalul Outis
4439	W: Polyphemos
4440	W: Arcasul Iadului
4441	W: Sulitasul Iadului
4442	W: Parintele Iadului
4443	W: Maiorul Iadului
4444	W: Generalul Iadului
4449	W: Azrael
4450	W: Soldat Brotac Mare
4451	W: General Brotac
4452	W: Capcaun
4453	W: E. Fant. Tigru Galben
4454	W: General Broasca Taur
4459	W: Fantoma Tigru Galben
4460	W: Cenusa Spirit Foc
4461	W: Cenusa Tigru de Foc
4462	W: Cenusa Flacara
4463	W: Cenusa Luptator Foc
4464	W: Cristal Magma
4469	W: Garda Dragon Idall
4470	W: Hangork
4471	W: Orc Arcas
4472	W: Orc Galagios
4473	W: Orc Mag
4474	W: Generalul Ogg
4479	W: Marele Orc
4500	Metin Enigma
4501	Razboinic
4502	Sura
4503	Ninja
4504	ªaman
4505	Lycan
4506	General Enigma
5001	Pirat Tanaka
5002	Hae-Tae
5003	Maimuta
5004	Pirat Tanaka
5101	Gibon Soldat
5102	Gibon Grenadier
5103	Gibon Luptator
5104	Gibon General
5111	Maimuta Soldat
5112	Maimuta Grenadier
5113	Maimuta Luptator
5114	Maimuta General
5115	Maimuta de Piatra
5116	Maimuta Conducator
5121	Gorila Soldat
5122	Gorila Grenadier
5123	Gorila Luptator
5124	Gorila General
5125	Gorila de Piatra
5126	Gorila de Aur
5127	Gorila Conducator
5131	Soldat maim. intel. mic
5132	Arunc. maim. intel. mic
5133	Lupt. maim. intel. mic
5134	Gen. maim. inteligent mi
5141	Urangutan Soldat
5142	Aruncator maim. viclean
5143	Luptator maim. viclean
5144	Gen. maim. viclean
5145	Maim. de piatra vicleana
5146	Conducator maim. viclean
5151	Gorila Soldat Malefica
5152	Gorila Grenadier Malefic
5153	Luptator maim. rau
5154	Gorila General Malefica
5155	Gorila de Piatra Malefic
5156	Gorila de Aur Malefica
5157	Conducator maim. rau
5161	Maimuta de Piatra
5162	Maimuta Umblatoare
5163	Maimuta Lord
5201	Caine Salbatic
5202	Mistret Salbatic
5203	Mistret Salbatic Rosu
5204	Urs
5205	Urs Brun
5206	Urs Negru
5207	Urs Brun Flamand
5208	Tigru
5209	Tigru Alb
6001	Cenusa Spiritul Focului
6002	Cenusa Tigru de Foc
6003	Cenusa Flacara
6004	Cenusa Luptator de Foc
6005	Cenusa Rege de Foc
6006	Cenusa Troll de Foc
6007	Cenusa Barba de Foc
6008	Cenusa General de Foc
6009	Cenusa Capetenie de Foc
6051	Ignitor
6091	Razador
6101	Cristal de Gheata
6102	Insecta de Gheata
6103	Om de Gheata
6104	Yeti de Gheata
6105	Golem de Gheata
6106	Troll de Gheata
6107	Barba de Gheata
6108	General de Gheata
6109	Lord de Gheata
6110	Yeti Magma
6111	Golem Magma
6112	Insecta Magma
6113	Omul Magma
6114	Cristal Magma
6115	Wyvern Magma
6116	Garda Dragon Idall
6117	Minion Idall
6118	Statuie Dragon
6151	Szel
6191	Nemere
6192	Jotun Thrym
6193	Meley Regina Dragon
6201	Yeti Magma
6202	Golem Magma
6203	Insecta Magma
6204	Om Magma
6205	Cristal Magma
6206	Wyvern Magma
6207	Garda Dragon Idall
6209	Statuie Dragon
6301	Razboinic Ochao
6302	Soldat Ochao
6303	Magician Ochao
6304	Calau Ochao
6305	General Ochao
6306	Luptator Puternic Ochao
6307	Soldat Puternic Ochao
6308	Magician Puternic Ochao
6309	Executor Puternic Ochao
6310	General Puternic Ochao
6391	Lord Ochao
6392	Garda Ochao
6393	Lord Puternic Ochao
6394	Gardian Puternic Ochao
6401	Razboinic En-Tai
6402	Soldat En-Tai
6403	Druid En-Tai
6404	Vindecator En-Tai
6405	Gardian En-Tai
6406	Distrugator En-Tai
6407	Suveran En-Tai
6408	Bagjanamu
6409	Vindecator Ochao
6410	Luptator Puternic En-Tai
6411	Soldat Puternic En-Tai
6412	Druid Puternic En-Tai
6413	Vraci Puternic En-Tai
6414	Asasin Puternic En-Tai
6415	Eveniment Beran-Setaou
6416	Eveniment Nemere
6417	Eveniment Razador
6418	Eveniment Jotun Thrym
6419	Eveniment Dragonul Rosu
6420	Spirit Razboinic
6421	Baashido+
6422	Metinul Vanitatii
6430	Capitanul Bestie
